0000 = Microscopic
0500 = About 1'
2000 = About 15'
0C63 = 4' 5" (Hornswoggle)
0C8E = 4' 6"
0CB9 = 4' 7"
0CE4 = 4' 8"
0D0F = 4' 9"
0D3A = 4' 10"
0D65 = 4' 11"
0D90 = 5' 0"
0DBB = 5' 1"
0DE6 = 5' 2"
0E11 = 5' 3"
0E3C = 5' 4"
0E67 = 5' 5'
0E92 = 5' 6"
0EBD = 5' 7"
0EE8 = 5' 8"
0F13 = 5' 9"
0F3E = 5' 10"
0F69 = 5' 11"
0F94 = 6' 0"
0FBF = 6' 1"
0FEA = 6' 2"
1015 = 6' 3"
1040 = 6' 4"
106B = 6' 5"
1096 = 6' 6"
10C1 = 6' 7"
10EC = 6' 8"
1117 = 6' 9"
1142 = 6' 10"
116D = 6' 11"
1198 = 7' 0"
11C3 = 7' 1"
11EE = 7' 2"
1219 = 7' 3"
